date,rank,name,price,today_purchased,value,now_viewing_customers_count,link
2019/9/1,2,TP-LINK TL-WR841N,499,17,121,221,https://www.alza.cz/EN/tp-link-tl-wr841n-d185181.htm
2019/9/1,3,TP-LINK Archer C50 AC1200 Dual Band,799,0,64,93,https://www.alza.cz/EN/tp-link-archer-c50-ac1200-dual-band-v3-d5250851.htm
2019/9/1,4,ASUS RT-AC57U,1199,0,57,105,https://www.alza.cz/EN/asus-rt-ac57u-d5478059.htm
2019/9/1,5,TP-LINK TL-WR940N,499,0,63,145,https://www.alza.cz/EN/tp-link-tl-wr940n-d185179.htm
2019/9/1,6,TP-LINK Archer C7 AC1750 Dual Band,1990,0,29,98,https://www.alza.cz/EN/tp-link-archer-c7-ac1750-dual-band-d470129.htm
2019/9/1,7,ASUS RT-AC58U,1999,0,22,84,https://www.alza.cz/EN/asus-rt-ac58u-d4411674.htm
2019/9/1,8,ASUS RT-AC750,749,0,23,44,https://www.alza.cz/EN/asus-rt-ac750-d4516993.htm
2019/9/1,9,"Tenda F3 (N300, F303)",369,0,28,34,https://www.alza.cz/EN/tenda-f3-n300-f303-d3754534.htm
2019/9/1,10,ASUS RT-AC66U B1,2399,0,16,46,https://www.alza.cz/EN/asus-rt-ac66u-b1-d4749139.htm
2019/9/2,1,TP-Link Archer C6,999,29,206,378,https://www.alza.cz/EN/tp-link-archer-c6-d5484619.htm
2019/9/2,2,TP-LINK TL-WR841N,499,18,126,309,https://www.alza.cz/EN/tp-link-tl-wr841n-d185181.htm
2019/9/2,3,TP-LINK Archer C50 AC1200 Dual Band,799,0,65,139,https://www.alza.cz/EN/tp-link-archer-c50-ac1200-dual-band-v3-d5250851.htm
2019/9/2,4,ASUS RT-AC57U,1199,0,62,134,https://www.alza.cz/EN/asus-rt-ac57u-d5478059.htm
2019/9/2,5,TP-LINK TL-WR940N,599,0,67,109,https://www.alza.cz/EN/tp-link-tl-wr940n-d185179.htm
2019/9/2,6,TP-LINK Archer C7 AC1750 Dual Band,1990,0,29,143,https://www.alza.cz/EN/tp-link-archer-c7-ac1750-dual-band-d470129.htm
2019/9/2,7,TP-LINK Deco M9 Plus 2ks kit,9999,0,0,31,https://www.alza.cz/EN/tp-link-deco-m9-plus-2-pack-d5457471.htm
2019/9/2,8,ASUS RT-AC58U,1999,0,23,88,https://www.alza.cz/EN/asus-rt-ac58u-d4411674.htm
2019/9/2,9,"Tenda F3 (N300, F303)",369,0,30,57,https://www.alza.cz/EN/tenda-f3-n300-f303-d3754534.htm
2019/9/2,10,ASUS RT-AC750,749,0,24,77,https://www.alza.cz/EN/asus-rt-ac750-d4516993.htm
2019/9/3,1,TP-Link Archer C6,999,30,213,344,https://www.alza.cz/EN/tp-link-archer-c6-d5484619.htm
2019/9/3,2,TP-LINK TL-WR841N,499,18,131,278,https://www.alza.cz/EN/tp-link-tl-wr841n-d185181.htm
2019/9/3,3,TP-LINK Archer C50 AC1200 Dual Band,799,0,64,118,https://www.alza.cz/EN/tp-link-archer-c50-ac1200-dual-band-v3-d5250851.htm
2019/9/3,4,ASUS RT-AC57U,1199,0,68,145,https://www.alza.cz/EN/asus-rt-ac57u-d5478059.htm
2019/9/3,5,TP-LINK TL-WR940N,599,0,67,95,https://www.alza.cz/EN/tp-link-tl-wr940n-d185179.htm
2019/9/3,6,TP-LINK Archer C7 AC1750 Dual Band,1990,0,30,114,https://www.alza.cz/EN/tp-link-archer-c7-ac1750-dual-band-d470129.htm
2019/9/3,7,ASUS RT-AC58U,1999,0,27,87,https://www.alza.cz/EN/asus-rt-ac58u-d4411674.htm
2019/9/3,8,TP-LINK M7200,1499,0,20,60,https://www.alza.cz/EN/tp-link-m7200-d5455335.htm
2019/9/3,9,ASUS RT-AC750,749,0,23,61,https://www.alza.cz/EN/asus-rt-ac750-d4516993.htm
2019/9/3,10,TP-LINK Deco M9 Plus 2ks kit,9999,0,0,27,https://www.alza.cz/EN/tp-link-deco-m9-plus-2-pack-d5457471.htm
2019/9/4,1,TP-Link Archer C6,999,33,233,312,https://www.alza.cz/EN/tp-link-archer-c6-d5484619.htm
2019/9/4,2,TP-LINK TL-WR841N,499,19,137,247,https://www.alza.cz/EN/tp-link-tl-wr841n-d185181.htm
2019/9/4,3,TP-LINK Archer C50 AC1200 Dual Band,799,0,68,114,https://www.alza.cz/EN/tp-link-archer-c50-ac1200-dual-band-v3-d5250851.htm
2019/9/4,4,ASUS RT-AC57U,1199,0,68,122,https://www.alza.cz/EN/asus-rt-ac57u-d5478059.htm
2019/9/4,5,TP-LINK Archer C7 AC1750 Dual Band,1990,0,32,126,https://www.alza.cz/EN/tp-link-archer-c7-ac1750-dual-band-d470129.htm
2019/9/4,6,TP-LINK TL-WR940N,599,0,66,84,https://www.alza.cz/EN/tp-link-tl-wr940n-d185179.htm
2019/9/4,7,ASUS RT-AC58U,1999,0,24,96,https://www.alza.cz/EN/asus-rt-ac58u-d4411674.htm
2019/9/4,8,TP-LINK M7200,1499,0,23,45,https://www.alza.cz/EN/tp-link-m7200-d5455335.htm
2019/9/4,9,"Tenda F3 (N300, F303)",369,0,30,36,https://www.alza.cz/EN/tenda-f3-n300-f303-d3754534.htm
2019/9/4,10,ASUS RT-AC750,749,0,24,54,https://www.alza.cz/EN/asus-rt-ac750-d4516993.htm
2019/9/5,1,TP-Link Archer C6,999,33,236,303,https://www.alza.cz/EN/tp-link-archer-c6-d5484619.htm
2019/9/5,2,TP-LINK TL-WR841N,499,20,142,197,https://www.alza.cz/EN/tp-link-tl-wr841n-d185181.htm
2019/9/5,3,ASUS RT-AC57U,1199,10,71,128,https://www.alza.cz/EN/asus-rt-ac57u-d5478059.htm
2019/9/5,4,TP-LINK Archer C50 AC1200 Dual Band,799,0,62,106,https://www.alza.cz/EN/tp-link-archer-c50-ac1200-dual-band-v3-d5250851.htm
2019/9/5,5,TP-LINK Archer C7 AC1750 Dual Band,1990,0,31,114,https://www.alza.cz/EN/tp-link-archer-c7-ac1750-dual-band-d470129.htm
2019/9/5,6,TP-LINK TL-WR940N,599,0,65,89,https://www.alza.cz/EN/tp-link-tl-wr940n-d185179.htm
2019/9/5,7,TP-LINK M7200,1499,0,22,50,https://www.alza.cz/EN/tp-link-m7200-d5455335.htm
2019/9/5,8,"Tenda F3 (N300, F303)",369,0,31,38,https://www.alza.cz/EN/tenda-f3-n300-f303-d3754534.htm
2019/9/5,9,ASUS RT-AC58U,1999,0,20,73,https://www.alza.cz/EN/asus-rt-ac58u-d4411674.htm
2019/9/5,10,ASUS RT-AC66U B1,2399,0,17,65,https://www.alza.cz/EN/asus-rt-ac66u-b1-d4749139.htm
2019/9/6,1,TP-Link Archer C6,999,33,232,272,https://www.alza.cz/EN/tp-link-archer-c6-d5484619.htm
2019/9/6,2,TP-LINK TL-WR841N,499,20,142,204,https://www.alza.cz/EN/tp-link-tl-wr841n-d185181.htm
